"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6129.98829461446","5321.37255150638","3134.36025823084","2955.44252904967","3192.25979063759","3464.83224038145","3694.6152564521","3849.38193490201","4169.73099497543","4353.71006960215","4665.15612335923","5170.76463239548","5906.26933621581","6778.85189793593","7535.48358359054","8635.0203443724","9841.89298187255","11272.5204242141","12135.032258403","10491.246068042","10787.5694125394","11361.3622093096","12240.2057080494","12700.9429201344","13210.3327708379","13686.7461270289","13775.181113149","14880.5563398641","15739.1469037946","17031.1183073534","15889.3437366952","16899.0709181678","19100.2456308322","",
"American Samoa","ASM","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21160.4165650696","21517.0197293611","21421.2412557142","22149.7459246042","23192.487799675","21751.3707860337","22722.8305342095","23488.2793781772","24140.5774518519","24612.0325761676","25709.0674819061","24166.3196877981","24104.6680698091","25281.2006016282","26445.8400913543","27830.731802154","30969.6651233572","33391.8811178998","32891.8064509144","28517.5685237145","25925.5568665146","25114.7399728619","25201.6115211523","25088.5666700905","25431.0249671081","25596.3216196952","26462.4119341251","26949.1180766044","28663.4525889592","29394.6290117812","23704.048687826","25493.1295548691","27757.17352739","",
"Australia","AUS","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35754.1141170955","35166.4698345273","34923.6676324886","36014.5915826843","37088.9400872028","38102.4330016468","39097.2104894606","40189.9261064134","41646.8987332921","43264.8525665447","44449.852777819","44771.4613117813","46026.6413897605","46906.5504946725","48368.1086259664","49290.0363305889","49969.2431898083","50917.0140186351","51696.610463009","51600.5720398176","51935.2017847145","52452.3787571427","53564.3304077806","54022.4668771925","54610.3938064056","55015.2964787314","55667.9241534879","56028.3713006226","56800.6357529854","57188.2949487875","56298.1955662662","57406.1787604549","59119.9807860447","",
"Austria","AUT","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44185.6033812944","45252.2378614827","45693.9414436961","45557.4288009203","46472.5690932382","47639.454729688","48692.970273325","49656.1054942487","51378.0947882366","53101.8528145705","54762.5796214008","55244.6322107553","55881.4240105944","56133.4193515393","57312.0590271475","58200.3256298781","59913.4044082921","61945.5058150023","62653.7331928151","60137.3462187105","61095.0798402765","62669.162997272","62808.5709119248","62455.3989818704","62378.971893348","62309.3942698872","62865.4863848378","63840.3566241592","65071.0155162726","65721.9904800008","61108.4211360952","63421.2035870778","65836.8893659608","",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10612.9666645849","10399.3931166437","7928.37229522939","6005.19779709532","4757.5844127957","4147.97469107883","4159.5978922991","4358.60480019062","4749.17444077969","5056.04634019211","5571.30950249852","6075.61452386132","6599.65760594523","7218.4718855466","7817.71610674925","9901.92662966046","13172.5812939603","16280.083507883","17656.9634509611","18901.8857609001","19621.3843451177","19386.7434013253","19545.0718576668","20414.8314836618","20716.1415229269","20694.7787550356","19830.3223176308","19675.9598908264","19798.8335387146","20122.7128524509","19126.094903135","20111.3756952109","21031.5112295293","",
"Burundi","BDI","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1422.36555930638","1463.80004116316","1440.41493183591","1396.20501877991","1335.23412311092","1157.70236498326","1065.49493278927","1049.72976203153","1079.28150261993","1043.34196300555","1013.49647880254","1009.045325137","1024.87255050496","981.063469421662","990.980863891961","963.581427289147","980.027004857945","977.305464797012","983.532411967181","970.474105175789","973.562365514906","977.568691084452","985.624648596935","998.078995095926","1006.16945138948","945.995531498525","925.125604049605","908.726397534499","896.211966259742","883.152427921014","860.998892196455","864.280732753101","857.153625856622","",
"Belgium","BEL","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42266.1256609866","42881.254903503","43361.3387938089","42776.8280727372","44021.3423606743","44976.8477278322","45482.2386311735","47093.5784075159","47915.0429489113","49498.973644774","51214.337099716","51599.716233653","52245.7367378187","52567.5076664791","54209.6792401521","55164.0165708659","56200.0978625302","57840.2068705233","57641.5531078745","56024.1768142175","57104.7510775475","57321.7688726382","57388.4928896344","57380.9472290143","58028.54614624","58871.0587590448","59315.6935681986","60044.6040992078","60843.5889609945","61871.6957497158","58364.669724459","62107.0699329664","63431.0471747624","",
"Benin","BEN","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2270.72504795272","2295.30726282374","2291.86752408274","2320.03190565047","2280.11054755879","2368.71432989608","2408.46843471588","2473.55603491183","2494.5317913269","2548.65299674092","2617.20277526761","2674.97399131568","2716.40824832532","2726.5139607425","2762.408845242","2721.86182641779","2743.94728973136","2825.77326094376","2878.03947158524","2859.37720191364","2835.37685284196","2835.16623561424","2886.20105632577","3005.33207106869","3104.22267310797","3067.54054450397","3077.84294838277","3157.97632935376","3272.42968263968","3397.58398092032","3429.92686919007","3575.31148668734","3697.61143218213","",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1113.4066250979","1184.08755145729","1157.97233302348","1168.64853734306","1154.54505277396","1189.65523536384","1287.37488425375","1334.01295387631","1392.68466030919","1452.55940498064","1436.48173917814","1485.61477007197","1503.3404860277","1571.09849685002","1590.74985535872","1674.95513272803","1724.98088591962","1742.25316485361","1789.83559074554","1789.61232180325","1884.55384245334","1950.56423416272","2014.41773905022","2067.94676756801","2094.08553996157","2112.46712138412","2173.59132219783","2243.21703481562","2326.07055496345","2388.23358102042","2369.55853609598","2467.67804044213","2448.13382665412","",
