date,spbmv_vix
18/05/17,15.77
19/05/17,15.41
22/05/17,16.03
23/05/17,15.8
24/05/17,15.43
25/05/17,15.48
26/05/17,15.38
30/05/17,15.44
31/05/17,15.5
01/06/17,15.28
02/06/17,14.99
05/06/17,14.61
06/06/17,14.98
07/06/17,15.15
08/06/17,14.96
09/06/17,14.53
12/06/17,14.74
13/06/17,14.88
14/06/17,14.84
15/06/17,14.79
16/06/17,14.57
19/06/17,14.55
20/06/17,14.69
21/06/17,14.55
22/06/17,14.52
23/06/17,14.5
26/06/17,14.25
27/06/17,14.28
28/06/17,13.69
29/06/17,14.03
30/06/17,14.47
03/07/17,13.97
04/07/17,14.03
05/07/17,13.62
06/07/17,13.97
07/07/17,13.84
10/07/17,13.39
11/07/17,13.17
12/07/17,12.97
13/07/17,12.98
14/07/17,12.6
17/07/17,12.53
18/07/17,12.53
19/07/17,12.67
20/07/17,12.74
21/07/17,12.63
24/07/17,12.64
25/07/17,12.29
26/07/17,12.8
27/07/17,13.13
28/07/17,13.07
31/07/17,13.33
01/08/17,13.21
02/08/17,13.58
03/08/17,12.89
04/08/17,13.15
07/08/17,13.28
08/08/17,13.88
09/08/17,13.43
10/08/17,14.29
11/08/17,14.46
14/08/17,14.09
15/08/17,14.11
16/08/17,14.45
17/08/17,14.75
18/08/17,14.67
21/08/17,14.94
22/08/17,14.79
23/08/17,14.73
24/08/17,14.63
25/08/17,14.71
28/08/17,14.57
29/08/17,13.79
30/08/17,14.11
31/08/17,13.93
01/09/17,14.27
04/09/17,14.41
05/09/17,14.36
06/09/17,14.04
07/09/17,13.98
08/09/17,14.24
11/09/17,14.37
12/09/17,13.77
13/09/17,14.04
14/09/17,13.88
15/09/17,13.67
18/09/17,13.56
19/09/17,13.64
20/09/17,13.5
21/09/17,13.17
22/09/17,13.23
25/09/17,13.12
26/09/17,13
27/09/17,13.01
28/09/17,12.88
29/09/17,13.15
02/10/17,12.42
03/10/17,12.62
04/10/17,12.7
05/10/17,12.65
06/10/17,12.81
09/10/17,12.74
10/10/17,13.01
11/10/17,12.98
12/10/17,12.99
13/10/17,13.04
16/10/17,13.16
17/10/17,12.75
18/10/17,12.91
19/10/17,13.07
20/10/17,12.71
23/10/17,13.2
24/10/17,12.96
25/10/17,13.2
26/10/17,13.51
27/10/17,13.7
30/10/17,13.79
31/10/17,13.88
01/11/17,14.24
03/11/17,14.09
06/11/17,14.17
07/11/17,13.68
08/11/17,13.89
09/11/17,14.38
10/11/17,14.98
13/11/17,14.85
14/11/17,14.99
15/11/17,15.06
16/11/17,15
17/11/17,14.96
21/11/17,14.93
22/11/17,14.7
23/11/17,14.69
24/11/17,15.02
27/11/17,14.28
28/11/17,14.2
29/11/17,14.06
30/11/17,14.64
01/12/17,14.43
04/12/17,14.42
05/12/17,14.23
06/12/17,14.11
07/12/17,14.48
08/12/17,14.11
11/12/17,13.54
13/12/17,13.36
