state,date,imaief_cons,imaief_actsec,imaief_manf,imaief_minr,imaief_cons_base,imaief_actsec_base,imaief_manf_base,imaief_minr_base,naim,covid,period,time_to_treat
Chihuahua,2019-04-01,130.96846846846847,102.200488997555,98.49921011058453,90.14577259475219,88.8,122.7,126.6,171.5,1,0,112,5
Chihuahua,2019-05-01,113.96396396396398,100.08149959250203,99.76303317535546,81.28279883381924,88.8,122.7,126.6,171.5,1,0,113,6
Chihuahua,2019-06-01,129.3918918918919,102.03748981255094,98.34123222748815,86.82215743440234,88.8,122.7,126.6,171.5,1,0,114,7
Chihuahua,2019-07-01,114.3018018018018,99.67400162999185,98.10426540284361,85.24781341107871,88.8,122.7,126.6,171.5,1,0,115,8
Chihuahua,2019-08-01,110.36036036036036,100.57049714751427,99.36808846761454,88.10495626822157,88.8,122.7,126.6,171.5,1,0,116,9
Chihuahua,2019-09-01,105.74324324324324,96.98451507742462,96.76145339652449,83.26530612244899,88.8,122.7,126.6,171.5,1,0,117,10
Chihuahua,2019-10-01,107.88288288288288,99.26650366748166,99.68404423380728,81.57434402332362,88.8,122.7,126.6,171.5,1,0,118,11
Chihuahua,2019-11-01,107.77027027027029,96.25101874490628,95.73459715639811,82.21574344023324,88.8,122.7,126.6,171.5,1,0,119,12
Chihuahua,2019-12-01,112.5,91.5240423797881,89.02053712480253,82.0408163265306,88.8,122.7,126.6,171.5,1,0,120,13
Chihuahua,2020-01-01,114.63963963963964,98.940505297473507,97.94628751974724,93.64431486880466,88.8,122.7,126.6,171.5,1,0,121,14
Chihuahua,2020-02-01,106.86936936936937,95.59902200488996,95.02369668246445,90.20408163265306,88.8,122.7,126.6,171.5,1,0,122,15
Chihuahua,2020-03-01,140.54054054054055,102.77098614506927,98.49921011058453,91.19533527696794,88.8,122.7,126.6,171.5,1,1,123,16
Chihuahua,2020-04-01,76.57657657657658,69.51915240423797,67.61453396524486,60.58309037900875,88.8,122.7,126.6,171.5,1,1,124,17
Chihuahua,2020-05-01,75.45045045045046,69.27465362673186,70.45813586097947,52.011661807580175,88.8,122.7,126.6,171.5,1,1,125,18
Chihuahua,2020-06-01,95.4954954954955,89.16055419722902,89.25750394944708,80.75801749271136,88.8,122.7,126.6,171.5,1,1,126,19
Chihuahua,2020-07-01,93.58108108108108,92.42053789731052,92.89099526066352,83.96501457725948,88.8,122.7,126.6,171.5,1,1,127,20
Chihuahua,2020-08-01,103.60360360360362,97.71801140994295,96.52448657187995,88.10495626822157,88.8,122.7,126.6,171.5,1,1,128,21
Chihuahua,2020-09-01,96.62162162162163,97.79951100244499,100.63191153238546,80.23323615160349,88.8,122.7,126.6,171.5,1,1,129,22
