countrycode,imf,countryflag,country,continent
NA,NA,NA,NA,NA
SEN,722,🇸🇳,Senegal,Africa
SRB,942,🇷🇸,Serbia,Europe
NA,NA,NA,NA,NA
SYC,718,🇸🇨,Seychelles,Africa
SLE,724,🇸🇱,Sierra Leone,Africa
SGP,576,🇸🇬,Singapore,Asia
SXM,NA,🇸🇽,Sint Maarten,Americas
SVK,936,🇸🇰,Slovakia,Europe
SVN,961,🇸🇮,Slovenia,Europe
SLB,813,🇸🇧,Solomon Islands,Oceania
SOM,726,🇸🇴,Somalia,Africa
NA,NA,NA,NA,Africa
ZAF,199,🇿🇦,South Africa,Africa
SGS,NA,🇬🇸,South Georgia & South Sandwich Islands,NA
KOR,542,🇰🇷,South Korea,Asia
SSD,733,🇸🇸,South Sudan,Africa
ESP,184,🇪🇸,Spain,Europe
LKA,524,🇱🇰,Sri Lanka,Asia
BLM,NA,🇧🇱,St. Barthélemy,Americas
SHN,856,🇸🇭,St. Helena,Africa
KNA,361,🇰🇳,St. Kitts & Nevis,Americas
LCA,362,🇱🇨,St. Lucia,Americas
SPM,363,🇵🇲,St. Pierre & Miquelon,Americas
VCT,364,🇻🇨,St. Vincent & Grenadines,Americas
NA,NA,NA,NA,NA
SDN,732,🇸🇩,Sudan,Africa
SUR,366,🇸🇷,Suriname,Americas
SJM,NA,🇸🇯,Svalbard & Jan Mayen,Europe
SWE,144,🇸🇪,Sweden,Europe
CHE,146,🇨🇭,Switzerland,Europe
SYR,463,🇸🇾,Syria,Asia
STP,716,🇸🇹,São Tomé & Príncipe,Africa
TWN,528,🇹🇼,Taiwan,Asia
TJK,923,🇹🇯,Tajikistan,Asia
TZA,738,🇹🇿,Tanzania,Africa
THA,578,🇹🇭,Thailand,Asia
NA,NA,NA,NA,NA
TLS,537,🇹🇱,Timor-Leste,Asia
TGO,742,🇹🇬,Togo,Africa
TKL,NA,🇹🇰,Tokelau,Oceania
TON,866,🇹🇴,Tonga,Oceania
TTO,369,🇹🇹,Trinidad & Tobago,Americas
TUN,744,🇹🇳,Tunisia,Africa
TUR,186,🇹🇷,Turkey,Asia
TKM,925,🇹🇲,Turkmenistan,Asia
TCA,NA,🇹🇨,Turks & Caicos Islands,Americas
NA,NA,NA,NA,NA
TUV,NA,🇹🇻,Tuvalu,Oceania
NA,NA,NA,NA,NA
VIR,NA,🇻🇮,U.S. Virgin Islands,Americas
UGA,746,🇺🇬,Uganda,Africa
UKR,926,🇺🇦,Ukraine,Europe
ARE,466,🇦🇪,United Arab Emirates,Asia
NA,NA,NA,NA,Asia
GBR,112,🇬🇧,United Kingdom,Europe
NA,NA,NA,NA,NA
USA,111,🇺🇸,United States,Americas
UMI,NA,🇺🇲,NA,NA
NA,NA,NA,NA,NA
URY,298,🇺🇾,Uruguay,Americas
UZB,927,🇺🇿,Uzbekistan,Asia
VUT,846,🇻🇺,Vanuatu,Oceania
