year,countrycode,gdppc,continent,naim
2020,CRI,10.009818685081946,Americas,0
2021,CRI,10.059941245194317,Americas,0
1997,DOM,8.648566713222598,Americas,0
1998,DOM,8.708790969632167,Americas,0
1999,DOM,8.764922712741047,Americas,0
2000,DOM,8.817660415270291,Americas,0
2001,DOM,8.849324173548244,Americas,0
2002,DOM,8.894169105568247,Americas,0
2003,DOM,8.885900650969624,Americas,0
2004,DOM,8.923839660428065,Americas,0
2005,DOM,9.031222545770293,Americas,0
2006,DOM,9.136129434752435,Americas,0
2007,DOM,9.221382686079554,Americas,0
2008,DOM,9.259285633151624,Americas,0
2009,DOM,9.262624271016382,Americas,0
2010,DOM,9.34238603639747,Americas,0
2011,DOM,9.38169560912212,Americas,0
2012,DOM,9.384334435004828,Americas,0
2013,DOM,9.43205587332852,Americas,0
2014,DOM,9.508592224553025,Americas,0
2015,DOM,9.598376261010074,Americas,0
2016,DOM,9.687187013760347,Americas,0
2017,DOM,9.725279389496135,Americas,0
2018,DOM,9.805595316303862,Americas,0
2019,DOM,9.862145051942633,Americas,0
2020,DOM,9.79446440721866,Americas,0
2021,DOM,9.941225475536697,Americas,0
1997,ECU,8.688385336578621,Americas,0
1998,ECU,8.711265304928991,Americas,0
1999,ECU,8.656927721661031,Americas,0
2000,ECU,8.67116131585074,Americas,0
2001,ECU,8.714563197182988,Americas,0
2002,ECU,8.752617555962837,Americas,0
2003,ECU,8.78196135441916,Americas,0
2004,ECU,8.87054947627523,Americas,0
2005,ECU,8.936251860854183,Americas,0
2006,ECU,8.99298400250117,Americas,0
2007,ECU,9.024585988593321,Americas,0
2008,ECU,9.088624200125595,Americas,0
2009,ECU,9.084375903045336,Americas,0
2010,ECU,9.115073911460827,Americas,0
2011,ECU,9.195989947700198,Americas,0
2012,ECU,9.241005804123553,Americas,0
2013,ECU,9.319525234559508,Americas,0
2014,ECU,9.368469633156975,Americas,0
2015,ECU,9.311116157971695,Americas,0
2016,ECU,9.308761088956237,Americas,0
2017,ECU,9.360303342925492,Americas,0
2018,ECU,9.379066534526556,Americas,0
2019,ECU,9.380124913653054,Americas,0
2020,ECU,9.295642146773433,Americas,0
2021,ECU,9.364021784728356,Americas,0
1997,GTM,8.369769493985713,Americas,0
1998,GTM,8.406070602564128,Americas,0
1999,GTM,8.434118867243695,Americas,0
2000,GTM,8.467634829184414,Americas,0
2001,GTM,8.488948163794083,Americas,0
2002,GTM,8.519108651283185,Americas,0
2003,GTM,8.542126451983263,Americas,0
2004,GTM,8.578253596251669,Americas,0
2005,GTM,8.62059359460188,Americas,0
2006,GTM,8.68285189532163,Americas,0
2007,GTM,8.751208674622081,Americas,0
2008,GTM,8.783336420031606,Americas,0
2009,GTM,8.775672524682031,Americas,0
2010,GTM,8.797686894011978,Americas,0
2011,GTM,8.840851754094107,Americas,0
2012,GTM,8.882493441553558,Americas,0
2013,GTM,8.91551122114646,Americas,0
2014,GTM,8.95654341517339,Americas,0
